Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1671833.202988
BluetoothConnected;1671833.228888
ThreadStarted:1671844.251255
SocketInitialized;1671844.256814
DeviceConnected:1671844.892395
FilenameTime:1671845.049112
Filename:1_2023_08_18_17_10_14_fua2N9YGuHPlM75ZAAAn.json
ProcessReady;1671845.148187
FirstResponseReceived;1671845.350586
