Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1670583.509032
BluetoothConnected;1670583.533634
ThreadStarted:1670605.063613
SocketInitialized;1670605.068752
DeviceConnected:1670605.675320
FilenameTime:1670605.771616
Filename:1_2023_08_18_16_19_41_MvpxKzSBUd6xgm3CAAAF.json
ProcessReady;1670605.831624
FirstResponseReceived;1670605.913512
