Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1682933.799095
BluetoothConnected;1682933.827033
ThreadStarted:1682938.995446
SocketInitialized;1682939.000231
DeviceConnected:1682939.087889
FilenameTime:1682939.112047
Filename:1_2023_08_18_23_15_13_aeCkEWMeINSkyoywAAAo.json
ProcessReady;1682939.119521
FirstResponseReceived;1682939.166036
