Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1682132.887469
BluetoothConnected;1682132.911158
ThreadStarted:1682157.804429
SocketInitialized;1682157.809533
DeviceConnected:1682157.901926
FilenameTime:1682157.921673
Filename:1_2023_08_18_23_02_12_T_G4BCiE95Hl-5h0AAAU.json
ProcessReady;1682157.927506
FirstResponseReceived;1682157.974721
