Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1682010.160842
BluetoothConnected;1682010.184049
ThreadStarted:1682045.614068
SocketInitialized;1682045.618885
DeviceConnected:1682045.710269
FilenameTime:1682045.731592
Filename:1_2023_08_18_23_00_19__Qwdrg_2ms581y8ZAAAO.json
ProcessReady;1682045.738100
FirstResponseReceived;1682045.795682
