Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1683367.914835
BluetoothConnected;1683367.937682
ThreadStarted:1683374.569213
SocketInitialized;1683374.574041
DeviceConnected:1683374.664943
FilenameTime:1683374.687564
Filename:1_2023_08_18_23_22_28_14Ox-cvRTXDZ-ygiAAA2.json
ProcessReady;1683374.695309
FirstResponseReceived;1683374.720417
