Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1637965.544333
BluetoothConnected;1637965.571855
ThreadStarted:1637972.820670
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1637972.822629
AssignWorkerDeviceRequested;1637973.218800
BrokerIPAssigned;1637973.217901
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1637973.248960
WorkerDeviceAssigned;1637973.242759
WorkerIP;192.168.2.151
CPU_Usage;1.5075376884422065
DeviceConnected:1637973.333262
FilenameTime:1637973.366639
Filename:1_2023_08_18_09_36_21_RU1ZdI7YoU8nJs-CAABB.json
ProcessReady;1637973.375131
FirstResponseReceived;1637973.403434
