Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1686514.902681
BluetoothConnected;1686514.925221
ThreadStarted:1686522.771450
SocketInitialized;1686522.776495
DeviceConnected:1686522.879834
FilenameTime:1686522.902428
Filename:1_2023_08_19_00_14_56_OrOc80tECKV3tliGAABP.json
ProcessReady;1686522.920307
FirstResponseReceived;1686522.979453
