Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693160155.292802
ThreadStarted;1693160155.293801
WorkerResourceThreadStarted;1693160155.2958
DeviceConnected;1693160155.609619
Filename;0_2023_08_27_18_15_56_vaRmXVvC2jvjJq0UAAAL.json
ProcessReady;1693160155.657592
FirstDataSent;1693160155.823498
FirstResponseReceived;1693160155.869469
TheadStopped;1693160520.308629
