Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692401756.882734
ThreadStarted;1692401756.883737
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692401756.883737
BrokerIPAssigned;1692401756.988754
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692401756.989679
WorkerDeviceAssigned;1692401756.999457
WorkerIP;192.168.2.125
CPU_Usage;1.2626262626262652
WorkerResourceThreadStarted;1692401757.00146
BrokerResourceThreadStarted;1692401757.002462
CloudResourceThreadStarted;1692401757.004458
DeviceConnected;1692401757.044719
Filename;0_2023_08_19_02_35_57_U0CzUtH21JGpxkfRAAAN.json
ProcessReady;1692401757.067457
FirstDataSent;1692401757.249802
FirstResponseReceived;1692401757.2584
TheadStopped;1692402121.733771
