Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1682677.151640
BluetoothConnected;1682677.174894
ThreadStarted:1682712.603895
SocketInitialized;1682712.609480
DeviceConnected:1682712.697638
FilenameTime:1682712.718871
Filename:1_2023_08_18_23_11_26_ULRvfRqd-tD6NFP2AAAi.json
ProcessReady;1682712.726942
FirstResponseReceived;1682712.777096
