Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168130.971369
ThreadStarted;1693168130.972368
WorkerResourceThreadStarted;1693168130.972368
DeviceConnected;1693168131.008752
Filename;0_2023_08_27_23_28_53_7o06eoTvkM6Ax6NDAAAv.json
ProcessReady;1693168131.016788
FirstDataSent;1693168131.21626
FirstResponseReceived;1693168131.230348
TheadStopped;1693168141.706257
