Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163459.240364
ThreadStarted;1693163459.240364
WorkerResourceThreadStarted;1693163459.241357
DeviceConnected;1693163459.543602
Filename;0_2023_08_27_19_11_00_5Z4HLx6WzulmufjtAAA_.json
ProcessReady;1693163459.596081
FirstDataSent;1693163459.761464
FirstResponseReceived;1693163459.810602
TheadStopped;1693163470.249259
