Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;370347.858433
BluetoothConnected;370347.871898
ThreadStarted:370356.628307
SocketInitialized;370356.641470
DeviceConnected:370357.157542
FilenameTime:370357.247715
Filename:1_2023_09_19_07_19_24_H1LrWnhwsD_h1QtzAAAL.json
ProcessReady;370357.325462
FirstResponseReceived;370357.437924
