Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7266,-0.93,-0.19,-0.01,15.99,7.05,-13.05,468

7286,-0.94,-0.11,0.03,7.34,5.17,-10.28,465

7306,-0.93,-0.22,0.1,0.62,4.17,-13.33,466

7326,-0.92,-0.24,0.1,-1.17,4.78,-14.7,466

7346,-0.91,-0.22,0.06,-1.52,6.96,-9.7,467

7366,-0.92,-0.26,0.04,-0.66,7.66,-18.67,467

7387,-0.93,-0.25,0.02,3.14,9.05,-33.71,467

7406,-0.94,-0.14,0.04,1.8,8.97,-30.47,468

7427,-0.95,-0.11,0.1,-0.37,9.52,-30.53,469

7446,-0.97,-0.08,0.18,5.11,11.62,-35.3,469

7467,-0.91,-0.28,0.27,22.64,25.46,-65.55,472

7486,-0.92,-0.34,0.18,25.96,23.23,-59.72,475

7506,-0.88,-0.27,-0.01,2.33,18.03,-45.38,477

7526,-0.92,-0.35,-0.07,-26.46,13.02,-45.01,477

7546,-0.9,-0.61,0.02,-28.26,9.77,-46.66,478

7566,-0.86,-0.7,0.11,-3.49,14.47,-43.14,479

7586,-0.99,-0.5,0.1,15.92,5.39,-4.11,480

7606,-1.03,-0.25,0.06,-1.96,-23.28,16.8,479

7626,-0.94,-0.26,0.05,-37.46,-44.28,23.32,479

7646,-0.89,-0.5,0.12,-46.11,-55.96,47.37,480

7666,-0.84,-0.59,0.16,-26.59,-55.18,59.17,480

7686,-0.82,-0.58,0.15,-5.85,-48.54,69.1,480

7706,-0.8,-0.51,0.12,7.86,-42.28,82.64,479

7727,-0.81,-0.44,0.1,10.91,-40.78,103.44,478

7746,-0.87,-0.36,0.14,14.12,-38.92,105.38,477

7767,-0.89,-0.19,0.13,8.04,-43.54,113.9,476

7786,-0.72,-0.36,-0.02,-9.21,-44.37,97.99,475

7806,-0.77,-0.48,0.15,14.27,-26.37,100.08,474

7826,-0.69,-0.34,-0.04,13.57,-30.93,93.78,473

7846,-0.98,-0.32,0.08,22.88,-22.02,87.45,472

7866,-0.79,-0.19,0.09,30.68,-12.49,68.93,472

7886,-0.97,-0.06,0.08,25.14,-4.9,38.38,473

7906,-0.88,-0.15,0.15,20.7,1.25,21.76,473

7926,-0.82,-0.07,0.12,8.32,7.34,-19.02,474

7946,-0.9,-0.04,0.08,-17.23,14.67,-32.77,474

7966,-0.74,-0.16,0.05,-58.89,6.91,-51.63,473

7986,-0.93,-0.35,0.29,-47.21,27.19,-38.07,473

8006,-1.36,-0.23,0.39,-22.05,8.06,-5.46,476

8027,-0.9,-0.25,0.17,-11.88,18.73,-36.13,476

8046,-0.97,-0.23,0.06,-33.72,17.78,-25.83,474

8067,-0.8,-0.35,-0.1,-32.1,19.81,-33.33,473

8086,-0.86,-0.55,-0.06,-4.39,30.29,-24.95,473

8107,-0.87,-0.38,0.1,12.38,30.65,-28.3,474

8126,-0.89,-0.19,0.11,6.33,32.27,-12.64,474

8146,-0.91,-0.26,0.02,-5.85,25.4,-21.45,474

8166,-0.89,-0.49,-0.1,2.09,32.17,-23.67,473

8186,-0.98,-0.52,-0.12,29.35,34.04,-11.08,473

8206,-0.89,-0.25,-0.06,38.47,32.85,-16.97,474

8226,-0.93,-0.25,0.05,40.54,36.99,-17.08,474

8246,-1.02,-0.14,0.03,28.67,28.56,-13.52,474

8266,-0.92,-0.18,-0.07,12.33,24.59,-12.08,473

8286,-0.91,-0.3,-0.05,11.95,21.49,-17.88,473

8306,-0.9,-0.31,0.02,22.3,24.67,-19.3,473

8326,-0.92,-0.24,0.06,24.97,23.25,-17.04,473

8346,-0.92,-0.1,-0.04,7.55,17.97,-20.36,473

8367,-0.96,-0.15,-0.12,-6.68,15.25,-14.48,472

