Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693165016.576152
ThreadStarted;1693165016.576152
WorkerResourceThreadStarted;1693165016.577153
DeviceConnected;1693165016.609205
Filename;0_2023_08_27_22_36_58_4eTUsyIcfVZacZa5AAAL.json
ProcessReady;1693165016.616267
FirstDataSent;1693165016.813259
FirstResponseReceived;1693165016.833295
TheadStopped;1693165381.296834
