Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1683522.833113
BluetoothConnected;1683522.856675
ThreadStarted:1683536.753303
SocketInitialized;1683536.758017
DeviceConnected:1683536.850928
FilenameTime:1683536.870355
Filename:1_2023_08_18_23_25_11_U3eq0MfRakkMG_HGAAA8.json
ProcessReady;1683536.877168
FirstResponseReceived;1683536.934053
