Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375213.703242
BluetoothConnected;375213.741985
ThreadStarted:375219.586345
SocketInitialized;375219.600062
DeviceConnected:375220.134759
FilenameTime:375220.229987
Filename:1_2023_09_19_08_40_27_5leSHfzCQsxx6mk0AAAt.json
ProcessReady;375220.298768
FirstResponseReceived;375220.417905
