Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7267,-0.91,-0.29,0.1,-2.07,-0.55,2.36,470

7287,-0.9,-0.31,0.09,-1.12,-0.35,3.13,467

7307,-0.91,-0.29,0.1,-0.2,0.18,0.25,467

7327,-0.91,-0.28,0.1,-0.59,-0.03,7.76,467

7347,-0.91,-0.27,0.09,-1.33,-0.34,1.72,467

7367,-0.91,-0.28,0.1,-2.17,-0.61,-4.07,467

7388,-0.91,-0.3,0.1,-1.98,-0.83,-1.75,467

7408,-0.9,-0.3,0.1,-1.62,-0.52,-2.45,467

7429,-0.9,-0.3,0.1,-1.2,-0.48,-7.51,467

7448,-0.91,-0.29,0.1,-0.92,-0.32,-4.46,467

7469,-0.91,-0.28,0.1,-1.2,-0.81,0.96,467

7488,-0.91,-0.29,0.08,-1.75,-0.98,4.56,467

7508,-0.9,-0.3,0.11,-0.43,-0.63,5.83,467

7528,-0.91,-0.28,0.1,0.38,0.09,-2.77,467

7548,-0.91,-0.27,0.1,-0.57,-0.46,-0.3,467

7568,-0.9,-0.28,0.11,-1.11,-0.72,-3.26,467

7588,-0.91,-0.29,0.1,-1.72,-1.01,-4.59,467

7608,-0.91,-0.28,0.1,-2.43,-1.18,-2.14,467

7628,-0.92,-0.28,0.1,-2.88,-3.04,6.54,467

7648,-0.92,-0.27,0.09,-2.46,-1.96,1.87,467

7668,-0.91,-0.27,0.11,-2.49,-1.45,-5.53,467

7688,-0.91,-0.28,0.11,-2.69,-1.44,0.34,467

7708,-0.91,-0.26,0.12,-3.93,-2.72,-2.12,467

7729,-0.93,-0.25,0.12,-7.47,-3.35,-1.58,467

7749,-0.9,-0.3,0.1,-10.36,-5.59,-1.39,467

7770,-0.89,-0.33,0.1,-6.3,-2.4,-9.17,467

7789,-0.9,-0.31,0.1,1.67,-0.96,0.29,467

7810,-0.92,-0.24,0.11,0.74,-0.48,-1.7,467

7829,-0.92,-0.24,0.13,-2.71,-0.31,-1.9,467

7849,-0.92,-0.21,0.12,-1.26,0.64,-10.59,467

7869,-0.92,-0.26,0.12,1.57,3.97,-11.58,467

7889,-0.94,-0.21,0.11,3.76,4.47,-6.31,468

7909,-0.94,-0.16,0.11,0.38,4.43,-15.23,468

7929,-0.93,-0.17,0.1,-5.94,3.33,-6.28,468

7949,-0.95,-0.19,0.11,-7.73,4.35,-26.74,468

7969,-0.95,-0.17,0.1,-6.97,4.44,-19.45,469

7989,-0.96,-0.15,0.1,-4.36,6.41,-17.55,469

8009,-0.94,-0.21,0.12,9.05,13.59,-36.28,470

8029,-0.94,-0.25,0.15,28.65,21.01,-43.02,471

8049,-0.95,-0.16,0.19,46.44,29.36,-60.57,472

8070,-0.96,-0.06,0.22,52.31,34.36,-55.31,474

8090,-1.01,-0.0,0.25,38.25,30.73,-64.04,476

8111,-0.97,-0.13,0.22,10.74,25.85,-73.96,479

8130,-0.86,-0.4,0.11,0.53,24.75,-67.92,480

8151,-0.88,-0.65,0.09,9.95,32.15,-60.06,481

8170,-0.88,-0.65,0.13,30.85,27.81,-37.25,482

8190,-0.91,-0.41,0.1,34.15,18.76,-4.67,483

8210,-0.96,-0.31,0.1,11.34,-0.11,18.08,483

8230,-0.8,-0.48,0.11,-4.59,-18.99,52.02,483

8250,-0.79,-0.54,0.11,1.22,-25.41,78.13,483

8270,-0.85,-0.47,0.1,9.02,-32.38,93.62,482

8290,-0.92,-0.38,0.14,7.31,-37.24,115.19,482

8310,-0.94,-0.29,0.18,-0.45,-42.19,130.68,482

8330,-0.88,-0.23,0.18,-6.71,-44.15,122.58,481

8350,-0.85,-0.25,0.18,-0.54,-35.18,120.72,480

8370,-0.85,-0.4,0.06,7.81,-30.02,108.9,480

8390,-0.89,-0.37,0.15,22.02,-28.96,103.55,479

8411,-0.77,-0.16,0.16,20.22,-27.27,95.77,478

8430,-0.84,-0.16,0.18,21.84,-16.72,74.38,478

8451,-0.88,-0.12,0.16,24.91,-12.89,62.11,477

8470,-0.88,0.01,0.13,17.46,-10.12,40.27,477

8491,-0.93,-0.06,0.18,1.75,-7.31,19.47,477

8510,-0.89,-0.15,0.2,-6.66,-6.11,7.3,477

8530,-0.91,-0.08,0.11,-15.87,1.17,-14.35,477

8550,-0.92,-0.06,0.07,-43.65,-8.99,-30.98,477

8570,-0.77,-0.29,-0.01,-69.17,-12.43,-53.14,477

8590,-0.66,-0.57,0.0,-66.98,4.65,-53.97,477

8610,-0.98,-0.54,0.25,-24.11,29.17,-30.4,477

8630,-1.49,-0.1,0.55,-1.35,20.3,15.15,480

8650,-1.09,0.07,0.09,-39.49,0.55,-31.15,479

8670,-0.86,-0.18,0.04,-74.01,0.29,-39.44,478

8690,-0.66,-0.54,-0.11,-38.97,25.72,-22.69,477

8710,-0.83,-0.54,0.05,16.57,42.58,-29.13,477

8730,-0.92,-0.3,0.2,30.07,45.68,-25.9,477

8751,-0.98,-0.11,0.19,4.13,30.94,-17.0,477

8770,-0.8,-0.23,0.11,-12.85,29.8,-26.48,476

8791,-0.96,-0.39,0.02,-0.82,35.02,-16.89,476

8810,-0.92,-0.41,0.01,17.81,34.98,-27.06,476

8830,-0.94,-0.3,0.02,31.83,38.91,-27.34,476

8850,-0.96,-0.18,0.04,22.83,29.69,-27.03,476

8870,-0.92,-0.31,-0.03,25.05,32.96,-30.34,476

8890,-0.96,-0.29,-0.11,32.73,31.2,-21.72,476

8910,-0.87,-0.38,-0.04,44.51,39.05,-31.61,476

8930,-0.96,-0.25,0.04,39.4,33.52,-21.15,475

8950,-0.89,-0.23,-0.02,25.11,29.23,-32.46,476

8970,-0.91,-0.26,-0.0,24.47,28.53,-20.51,475

8990,-0.91,-0.17,-0.02,18.88,24.03,-27.18,475

9010,-0.91,-0.22,-0.03,10.16,22.9,-31.01,475

9030,-0.94,-0.25,-0.05,6.6,20.39,-34.32,475

9051,-0.93,-0.25,-0.02,9.84,20.3,-18.8,475

9070,-0.95,-0.22,0.02,17.8,24.43,-39.39,474

9091,-0.93,-0.12,-0.01,15.22,22.38,-33.54,474

9110,-0.93,-0.18,-0.01,12.88,24.58,-38.36,474

9131,-0.96,-0.22,-0.03,14.94,23.94,-47.63,474

9150,-0.92,-0.17,-0.07,11.11,23.28,-59.99,474

9170,-0.96,-0.15,-0.04,6.86,21.51,-63.48,474

9190,-0.95,-0.11,0.04,7.25,19.8,-63.87,475

9210,-0.9,-0.17,-0.01,1.67,20.44,-76.18,476

9230,-0.91,-0.33,0.01,-1.41,20.88,-77.42,478

9250,-0.9,-0.45,0.08,10.45,28.03,-95.88,480

9270,-1.03,-0.46,0.08,26.42,34.96,-95.93,482

9290,-1.21,-0.38,0.11,35.7,41.04,-106.21,485

9310,-1.33,-0.54,0.28,60.85,51.94,-147.29,488

9330,-1.33,-0.56,0.34,89.55,61.08,-141.73,490

9350,-1.27,-0.42,0.5,83.05,42.12,-133.26,491

9370,-1.36,-0.2,0.43,57.46,22.87,-100.14,492

9391,-1.17,-0.17,0.04,-13.03,-15.57,-96.4,491

9410,-0.83,-0.44,-0.39,-91.18,-23.1,-93.08,489

9431,-0.73,-0.68,-0.54,-129.85,-37.59,-90.01,488

9450,-0.53,-0.82,-0.51,-107.93,-50.73,-61.31,487

9470,-0.24,-1.08,-0.67,-59.2,-53.91,-16.85,487

9490,0.21,-1.05,0.06,25.35,-40.99,2.56,487

9510,-0.25,-0.94,-0.07,49.28,-41.31,84.19,488

9530,-0.14,-0.62,-0.14,68.79,-67.21,135.76,487

9550,-0.23,-0.61,-0.09,36.97,-77.44,173.56,486

9570,-0.29,-0.68,-0.11,18.77,-91.86,219.45,485

9590,-0.37,-0.8,-0.11,-3.12,-101.24,238.28,484

9610,-0.55,-0.77,0.02,10.39,-99.04,244.33,484

9630,-0.7,-0.69,0.13,-1.26,-101.16,268.84,482

9650,-0.73,-0.6,0.14,-31.75,-101.68,246.22,479

9670,-0.88,-0.54,0.14,-37.11,-97.39,237.41,476

9691,-1.0,-0.48,0.16,-5.27,-70.08,220.64,474

9710,-0.92,-0.42,-0.06,10.71,-62.69,166.04,472

9731,-1.05,-0.13,0.12,15.49,-35.54,134.21,470

9750,-0.76,-0.06,0.18,10.99,-22.34,100.09,470

9771,-0.86,-0.02,0.14,24.39,9.39,44.54,469

9790,-0.94,0.16,0.18,13.29,7.1,-3.96,469

9810,-0.89,0.15,0.11,-29.23,4.44,-51.38,470

9830,-0.85,-0.16,-0.03,-72.36,1.42,-91.36,470

9850,-0.83,-0.73,0.14,-51.87,32.55,-115.0,471

9870,-1.37,-0.67,0.44,41.11,51.07,-22.61,473

9890,-1.18,-0.01,0.09,47.44,38.81,-39.0,476

9910,-1.08,0.02,0.06,-29.15,16.33,-67.81,475

9930,-0.61,-0.37,0.14,-78.75,4.55,-47.84,473

9950,-0.52,-0.83,0.14,-34.65,29.71,-54.55,476

9970,-0.95,-0.58,0.12,7.64,41.16,-43.49,478

9990,-0.97,-0.22,-0.04,13.92,43.49,-41.18,476

10010,-0.98,-0.19,-0.16,-1.41,32.69,-27.34,475

10031,-0.81,-0.36,-0.04,-7.65,29.33,-36.44,476

10050,-0.96,-0.43,0.02,3.89,38.24,-36.21,476

10071,-0.95,-0.23,-0.01,-4.04,22.73,-28.14,476

10090,-0.85,-0.17,-0.05,-23.35,21.19,-31.18,475

10110,-0.99,-0.26,-0.08,-30.19,19.95,-37.17,475

10130,-0.92,-0.27,-0.02,-34.27,11.86,-26.09,475

10150,-0.8,-0.5,0.09,-26.77,15.91,-35.83,475

10170,-0.87,-0.53,0.09,-4.33,23.2,-41.81,475

10190,-0.87,-0.35,0.02,15.41,28.7,-37.28,475

10210,-0.87,-0.26,-0.05,19.51,31.52,-25.47,475

10230,-0.96,-0.16,0.03,10.12,26.85,-29.39,474

10250,-0.93,-0.2,-0.04,-2.25,24.09,-30.25,474

10270,-0.83,-0.3,-0.01,-17.01,13.85,-34.1,474

10290,-0.79,-0.44,0.02,-18.72,18.24,-37.24,473

10310,-0.86,-0.4,-0.01,-8.6,20.78,-31.52,474

10331,-0.89,-0.32,-0.04,-0.1,22.87,-43.91,475

10350,-0.91,-0.23,-0.01,-3.07,19.59,-40.33,474

10371,-0.89,-0.26,-0.1,-6.66,24.29,-49.64,474

10390,-0.91,-0.34,-0.14,-4.36,24.58,-55.42,474

10411,-0.85,-0.43,-0.1,-2.01,24.99,-59.75,475

10430,-0.87,-0.45,-0.08,4.24,33.04,-70.95,476

10450,-0.94,-0.4,0.04,17.69,41.95,-65.84,478

10470,-1.02,-0.35,0.08,43.11,58.39,-88.55,480

10490,-1.39,-0.44,0.38,77.51,65.85,-119.6,483

10510,-1.64,-0.65,0.52,108.31,75.78,-162.9,488

10530,-1.7,-0.26,0.49,166.1,92.15,-161.96,491

10550,-1.67,-0.06,0.21,160.22,86.2,-146.34,492

10570,-1.42,-0.15,-0.06,94.3,37.05,-131.94,491

10590,-0.83,-0.21,-0.21,-21.01,-40.35,-90.97,489

10610,-0.42,-0.68,-0.39,-108.02,-12.8,-91.07,487

10630,-0.56,-0.89,-0.41,-114.72,-34.02,-62.73,486

10650,-0.29,-0.96,-0.33,-77.98,-51.02,-18.72,486

10671,-0.05,-1.01,-0.28,-14.91,-36.69,6.03,486

10690,-0.23,-0.77,0.06,9.81,-41.79,81.04,486

10711,-0.03,-0.84,-0.21,30.8,-65.53,127.66,486

10730,-0.03,-0.77,-0.12,46.91,-53.07,172.39,486

10750,-0.25,-0.81,-0.08,61.72,-60.83,205.22,485

10770,-0.32,-0.73,-0.07,53.6,-71.94,235.7,485

10790,-0.47,-0.59,0.06,32.86,-79.24,249.67,484

10810,-0.63,-0.48,0.12,4.22,-93.25,284.34,483

10830,-0.73,-0.54,0.1,-48.54,-97.77,278.85,480

10850,-0.85,-0.55,0.18,-66.74,-106.93,259.0,477

10870,-0.98,-0.44,0.15,-43.43,-91.47,240.4,475

10890,-1.02,-0.62,-0.03,0.48,-78.35,199.11,472

10910,-1.05,-0.37,0.04,31.25,-51.82,170.63,471

10930,-0.87,0.05,0.17,44.73,-22.32,129.19,469

10950,-0.88,0.24,0.08,43.46,3.31,75.34,470

10971,-0.94,0.26,0.13,31.35,11.14,-3.13,471

10990,-0.93,0.23,0.14,-11.01,9.34,-39.81,470

11011,-0.93,0.13,-0.05,-75.84,-0.03,-69.98,470

11030,-0.76,-0.29,-0.17,-113.9,5.6,-107.66,470

11051,-0.94,-0.87,0.23,-58.34,43.05,-83.0,470

11070,-1.48,-0.57,0.51,5.41,13.19,8.78,473

11090,-0.89,-0.28,0.24,17.35,43.14,-91.11,476

11110,-1.08,-0.38,0.14,-33.79,24.81,-70.53,475

11130,-0.5,-0.37,-0.11,-25.96,25.4,-33.78,474

11150,-0.78,-0.44,-0.05,1.44,44.88,-50.02,475

11170,-1.13,-0.32,-0.07,-2.72,35.68,-45.12,476

11190,-0.86,-0.44,0.03,-6.46,29.59,-46.24,476

11210,-0.73,-0.58,-0.05,12.88,43.97,-42.25,476

11230,-0.91,-0.48,-0.04,29.64,46.43,-33.26,476

11250,-0.93,-0.34,-0.04,31.9,40.17,-22.63,475

