Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7266,-0.89,-0.36,0.05,-2.61,1.77,-5.8,485

7286,-0.92,-0.33,0.06,-0.26,2.76,-5.1,482

7306,-0.9,-0.29,0.06,-3.69,0.69,-3.3,482

7326,-0.91,-0.29,0.05,-3.92,0.78,4.73,482

7346,-0.9,-0.28,0.05,-4.32,0.5,3.1,482

7366,-0.91,-0.29,0.04,-3.08,-0.43,-10.98,482

7387,-0.93,-0.28,0.04,3.01,3.02,-10.56,482

7406,-0.89,-0.31,0.06,5.06,3.39,-9.15,483

7427,-0.89,-0.31,0.05,-2.38,1.39,-3.33,483

7446,-0.88,-0.4,0.05,-2.03,2.21,-12.62,483

7467,-0.92,-0.32,0.03,0.8,1.02,-6.95,483

7486,-0.9,-0.3,0.02,0.83,1.36,-4.94,483

7506,-0.91,-0.36,0.01,7.59,4.26,-7.63,483

7526,-0.91,-0.32,0.04,10.16,1.91,-2.79,483

7546,-0.91,-0.24,0.02,7.13,1.91,-2.8,483

7566,-0.83,-0.39,0.05,4.57,1.04,-13.93,483

7586,-0.9,-0.46,0.06,10.42,4.72,1.26,483

7606,-0.88,-0.35,0.05,12.92,3.97,-10.41,483

7626,-0.95,-0.15,-0.0,10.9,5.59,-1.19,483

7646,-0.97,-0.13,0.01,6.2,3.78,-2.42,484

7666,-0.95,-0.25,0.06,0.17,1.49,-13.12,483

7686,-0.93,-0.25,0.07,0.58,1.75,-12.97,483

7706,-0.94,-0.17,0.07,-1.29,2.03,-15.8,483

7727,-0.93,-0.22,0.08,-1.39,2.49,-27.46,484

7746,-0.89,-0.32,0.07,5.67,6.38,-25.33,485

7767,-0.94,-0.23,0.07,11.49,8.84,-35.59,487

7786,-1.0,-0.14,0.1,15.47,9.28,-38.06,488

7806,-1.03,-0.07,0.2,23.49,14.55,-51.59,490

7826,-0.97,-0.2,0.24,28.74,15.74,-52.14,493

7846,-0.9,-0.28,0.25,27.42,19.57,-53.75,494

7866,-0.93,-0.26,0.14,5.82,14.07,-47.89,495

7886,-1.03,-0.31,0.03,-21.37,5.3,-54.76,496

7906,-1.01,-0.51,0.01,-44.71,-11.57,-49.82,498

7926,-0.78,-0.69,0.03,-39.71,-15.42,-23.06,501

7946,-0.73,-0.67,0.07,-16.24,-24.58,14.61,500

7966,-0.85,-0.48,0.01,-8.59,-33.31,37.15,501

7986,-0.89,-0.46,0.03,-12.12,-49.91,55.95,501

8006,-0.77,-0.49,0.09,-11.86,-55.05,71.12,500

8027,-0.78,-0.5,0.1,-7.48,-48.15,101.0,501

8046,-0.8,-0.45,0.14,-1.51,-51.57,106.51,500

8067,-0.7,-0.35,0.09,-4.48,-49.76,111.42,498

8086,-0.9,-0.36,0.04,-3.97,-38.8,110.76,498

8107,-1.06,-0.31,0.12,-0.55,-42.89,97.27,496

8126,-0.85,-0.28,0.15,-0.16,-42.6,88.48,495

8146,-0.87,-0.25,0.11,5.94,-32.09,79.59,494

8166,-0.86,-0.18,0.15,5.64,-31.3,82.71,494

8186,-0.76,-0.18,0.05,2.11,-28.46,64.9,493

8206,-0.97,-0.22,0.13,4.48,-13.62,39.82,492

8226,-0.89,-0.25,0.16,6.57,-17.42,34.32,494

8246,-0.81,-0.26,0.1,18.94,-0.43,20.56,494

8266,-0.93,-0.15,0.14,21.27,3.86,23.14,494

8286,-0.9,-0.13,0.16,9.84,-0.06,10.59,494

8306,-0.78,-0.17,0.18,6.28,5.17,-0.54,494

8326,-0.92,-0.14,0.12,-2.55,10.32,-13.32,494

8346,-0.98,-0.04,0.11,-25.54,-1.42,-9.19,493
