Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375109.432728
BluetoothConnected;375109.476164
ThreadStarted:375113.823012
SocketInitialized;375113.836798
DeviceConnected:375114.351616
FilenameTime:375114.449583
Filename:1_2023_09_19_08_38_41_BJXA9e4UuFcIMKnAAAAp.json
ProcessReady;375114.521291
FirstResponseReceived;375114.626719
