Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695640245.577856
ThreadStarted;1695640245.579853
WorkerResourceThreadStarted;1695640245.579853
DeviceConnected;1695640246.08042
Filename;0_2023_09_25_11_10_46_HUIGy9Nve6QtVcXAAAB9.json
ProcessReady;1695640246.156871
FirstDataSent;1695640246.289898
FirstResponseReceived;1695640246.383799
TheadStopped;1695640610.780432
