Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1682881.789908
BluetoothConnected;1682881.814138
ThreadStarted:1682917.120369
SocketInitialized;1682917.125326
DeviceConnected:1682917.219695
FilenameTime:1682917.478740
Filename:1_2023_08_18_23_14_51_XO25ouTWD8r805ooAAAm.json
ProcessReady;1682917.481721
FirstResponseReceived;1682917.522373
