Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1661581.841017
BluetoothConnected;1661581.881273
ThreadStarted:1661597.041057
SocketInitialized;1661597.047094
DeviceConnected:1661597.684795
FilenameTime:1661597.763033
Filename:1_2023_08_18_13_49_33_iAAP9rWS8k9kof2vAAAj.json
ProcessReady;1661597.884667
FirstResponseReceived;1661597.991072
SocketConnectError:1662307.686486
SocketDisconnected:1662307.718308
SocketConnectError:1662319.023402
SocketConnectError:1662331.417224
SocketConnectError:1662346.141073
SocketConnectError:1662361.176222
SocketConnectError:1662376.213902
SocketConnectError:1662391.252359
SocketConnectError:1662406.283794
SocketConnectError:1662421.314404
SocketConnectError:1662436.354571
SocketConnectError:1662451.390822
SocketConnectError:1662466.427345
SocketConnectError:1662481.464897
SocketConnectError:1662496.502564
SocketConnectError:1662511.538385
SocketConnectError:1662526.576144
SocketConnectError:1662541.609190
SocketConnectError:1662556.645930
SocketConnectError:1662571.679361
SocketConnectError:1662586.715472
SocketConnectError:1662601.751895
SocketConnectError:1662616.783701
SocketConnectError:1662631.821445
SocketConnectError:1662646.855938
SocketConnectError:1662661.894969
SocketConnectError:1662676.932392
SocketConnectError:1662691.969286
SocketConnectError:1662707.007209
SocketConnectError:1662722.045218
SocketConnectError:1662737.081672
SocketConnectError:1662752.118932
SocketConnectError:1662767.155650
SocketConnectError:1662782.188166
SocketConnectError:1662797.223748
SocketConnectError:1662812.262318
SocketConnectError:1662827.299444
SocketConnectError:1662842.337259
SocketConnectError:1662857.374582
SocketConnectError:1662872.412355
SocketConnectError:1662887.449532
SocketConnectError:1662902.486203
SocketConnectError:1662917.524794
SocketConnectError:1662932.561404
SocketConnectError:1662947.597894
SocketConnectError:1662962.635507
SocketConnectError:1662977.673305
SocketConnectError:1662992.707948
SocketConnectError:1663007.746641
SocketConnectError:1663022.784504
SocketConnectError:1663037.821956
SocketConnectError:1663052.860649
SocketConnectError:1663067.898987
SocketConnectError:1663082.936786
SocketConnectError:1663097.978389
SocketConnectError:1663113.014946
SocketConnectError:1663128.051918
SocketConnectError:1663143.087973
SocketConnectError:1663158.126430
SocketConnectError:1663173.163451
SocketConnectError:1663188.199290
SocketConnectError:1663203.237271
SocketConnectError:1663218.271543
SocketConnectError:1663233.303723
SocketConnectError:1663248.341120
SocketConnectError:1663263.383639
SocketConnectError:1663278.420859
SocketConnectError:1663293.458294
SocketConnectError:1663308.493855
SocketConnectError:1663323.528214
SocketConnectError:1663338.565088
SocketConnectError:1663353.601357
SocketConnectError:1663368.636588
SocketConnectError:1663383.671951
SocketConnectError:1663398.707400
SocketConnectError:1663413.743453
SocketConnectError:1663428.780875
SocketConnectError:1663443.816257
SocketConnectError:1663458.852675
SocketConnectError:1663473.891574
SocketConnectError:1663488.928197
SocketConnectError:1663503.965283
SocketConnectError:1663518.999412
SocketConnectError:1663534.027173
SocketConnectError:1663549.062890
SocketConnectError:1663564.099080
SocketConnectError:1663579.136371
SocketConnectError:1663594.173162
SocketConnectError:1663609.208613
SocketConnectError:1663624.244149
SocketConnectError:1663639.279373
SocketConnectError:1663654.310781
SocketConnectError:1663669.345856
SocketConnectError:1663684.379483
SocketConnectError:1663699.415807
SocketConnectError:1663714.454791
SocketConnectError:1663729.491067
SocketConnectError:1663744.526746
SocketConnectError:1663759.564149
SocketConnectError:1663774.595686
DeviceConnected:1663779.860431
FilenameTime:1663779.928202
Filename:1_2023_08_18_14_25_55_DkbC5rQAXHHqhfHKAAAl.json
ProcessReady;1663779.976890
SocketConnectError:1663782.774224
SocketDisconnected:1663782.796476
SocketConnectError:1663803.891942
SocketConnectError:1663816.287622
SocketConnectError:1663831.324412
SocketConnectError:1663846.362745
SocketConnectError:1663861.397413
SocketConnectError:1663876.432161
SocketConnectError:1663891.472583
SocketConnectError:1663906.504457
DeviceConnected:1663911.938810
FilenameTime:1663911.999430
Filename:1_2023_08_18_14_28_07_Tmg3yp3Zi2dyCphNAAAn.json
ProcessReady;1663912.047328
