Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693164638.275793
ThreadStarted;1693164638.276718
WorkerResourceThreadStarted;1693164638.276718
DeviceConnected;1693164638.302609
Filename;0_2023_08_27_22_30_40_QeYzI862g5HZI6poAAAJ.json
ProcessReady;1693164638.308337
FirstDataSent;1693164638.519448
FirstResponseReceived;1693164638.537781
TheadStopped;1693165003.011607
