Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375480.292493
BluetoothConnected;375480.331454
ThreadStarted:375482.835687
SocketInitialized;375482.850173
DeviceConnected:375483.402002
FilenameTime:375483.494921
Filename:1_2023_09_19_08_44_50_mm_MTSfp-fzfKKUFAAA3.json
ProcessReady;375483.574173
FirstResponseReceived;375483.670989
