Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692400616.528615
ThreadStarted;1692400616.529601
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692400616.529601
BrokerIPAssigned;1692400616.638523
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692400616.638523
WorkerDeviceAssigned;1692400616.650633
WorkerIP;192.168.2.125
CPU_Usage;1.2626262626262652
WorkerResourceThreadStarted;1692400616.6522
BrokerResourceThreadStarted;1692400616.653203
CloudResourceThreadStarted;1692400616.654222
DeviceConnected;1692400616.71157
Filename;0_2023_08_19_02_16_57_rKk3Sr5JW-izoaK9AAAH.json
ProcessReady;1692400616.734804
FirstDataSent;1692400616.918635
FirstResponseReceived;1692400616.925127
TheadStopped;1692400981.412062
