Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693188465.803609
ThreadStarted;1693188465.804632
WorkerResourceThreadStarted;1693188465.806611
DeviceConnected;1693188465.847656
Filename;0_2023_08_28_05_07_47_lQlkD1EpsXdmho5dAAAb.json
ProcessReady;1693188465.870023
FirstDataSent;1693188466.063249
FirstResponseReceived;1693188466.071932
TheadStopped;1693188476.546759
