Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7266,-0.87,-0.39,0.07,-4.32,2.03,-10.77,471
7286,-0.84,-0.47,0.04,2.3,2.71,-8.66,469
7306,-0.89,-0.39,0.04,5.14,3.68,-7.9,469
7326,-0.87,-0.34,0.05,4.9,2.92,-8.03,469
7346,-0.91,-0.31,0.06,8.29,3.22,-10.16,469
7366,-0.94,-0.23,0.09,9.69,4.37,-10.71,469
7387,-0.94,-0.18,0.08,7.94,3.76,-12.98,469
7406,-0.96,-0.16,0.08,7.23,4.87,-16.16,469
7427,-0.97,-0.15,0.08,7.95,6.03,-21.73,469
7446,-0.99,-0.15,0.12,12.18,9.35,-28.97,470
7467,-0.99,-0.11,0.16,19.4,12.08,-39.09,471
7486,-0.96,-0.13,0.22,22.46,13.48,-47.1,472
7506,-0.91,-0.11,0.2,10.3,11.65,-56.77,474
7526,-0.91,-0.08,0.15,-5.21,10.8,-61.29,476
7546,-0.97,-0.24,0.13,-20.69,9.74,-64.87,477
7566,-0.94,-0.51,0.14,-16.95,10.26,-61.5,479
7586,-0.9,-0.64,0.14,7.71,21.9,-58.03,479
7606,-0.95,-0.51,0.21,21.13,13.96,-36.22,480
7626,-0.88,-0.36,0.12,10.96,1.32,1.06,481
7646,-0.85,-0.48,0.11,0.99,-11.8,31.87,481
7666,-0.83,-0.55,0.12,10.3,-25.4,62.99,481
7686,-0.9,-0.44,0.13,21.04,-30.39,87.14,481
7706,-0.94,-0.33,0.15,22.59,-33.16,102.56,481
7727,-0.99,-0.24,0.14,14.04,-34.74,115.54,481
7746,-1.0,-0.18,0.18,-1.04,-47.11,120.47,480
7767,-0.86,-0.08,0.2,-7.93,-41.83,123.92,479
7786,-0.82,-0.33,0.03,-12.89,-43.52,95.08,479
7806,-0.95,-0.5,0.14,6.93,-28.97,98.39,478
7826,-0.75,-0.26,0.17,4.56,-42.97,105.22,477
7846,-0.71,-0.28,0.11,1.52,-29.54,92.15,477
7866,-0.72,-0.45,0.13,13.63,-28.16,79.29,476
7886,-0.66,-0.35,0.13,28.79,-13.23,68.73,476
7906,-0.89,-0.19,0.05,27.45,-2.2,50.84,476
7926,-0.94,-0.09,0.21,10.21,-7.92,35.78,476
7946,-0.84,-0.03,0.15,3.1,3.45,13.49,477
7966,-0.91,-0.01,0.1,-10.41,7.3,-17.81,477
7986,-0.87,-0.07,0.12,-32.44,2.58,-39.62,476
8006,-0.75,-0.29,0.04,-52.32,11.24,-64.89,476
8027,-1.05,-0.41,0.25,-24.55,41.7,-40.65,476
8046,-1.76,0.04,0.61,-8.73,14.6,13.0,478
8067,-0.96,0.11,0.11,-50.64,1.07,-52.23,478
8086,-0.8,-0.42,0.02,-79.39,10.19,-61.29,476
8107,-0.62,-0.65,-0.04,-35.44,23.32,-33.04,475
8126,-0.86,-0.47,-0.0,11.45,42.57,-33.88,476
8146,-0.92,-0.28,0.19,13.23,38.34,-34.28,476
8166,-0.9,-0.23,0.18,3.72,33.22,-31.88,476
8186,-0.9,-0.17,-0.04,-7.88,31.59,-30.86,476
8206,-0.95,-0.43,-0.09,-0.98,32.64,-35.44,475
8226,-0.9,-0.42,-0.08,18.44,35.39,-31.61,475
8246,-0.93,-0.25,0.01,17.69,32.68,-29.88,475
8266,-0.91,-0.25,0.02,9.95,30.77,-32.86,476
8286,-0.96,-0.29,-0.03,9.43,27.61,-31.53,476
8306,-0.91,-0.29,-0.05,5.92,20.31,-28.2,475
8326,-0.9,-0.3,0.02,0.43,19.94,-27.71,475
8346,-0.89,-0.26,0.05,-10.78,12.95,-24.29,475
8367,-0.89,-0.27,-0.03,-15.41,12.35,-25.96,476
8386,-0.88,-0.34,-0.05,-11.59,14.29,-26.92,475
8407,-0.84,-0.46,0.0,-0.08,20.13,-28.75,475
8426,-0.92,-0.45,0.0,10.56,21.24,-27.13,475
8446,-0.85,-0.37,-0.04,10.5,20.8,-21.93,475
8466,-0.86,-0.35,0.0,10.03,22.02,-24.2,475
8486,-0.91,-0.32,0.03,16.12,24.37,-26.71,475
8506,-0.9,-0.27,0.02,23.08,26.22,-30.45,476
8526,-0.91,-0.14,0.02,23.98,28.14,-35.99,475
8546,-0.96,-0.06,0.02,15.54,27.94,-41.71,475
8566,-0.94,-0.11,0.0,6.72,24.02,-48.34,474
8586,-0.87,-0.15,-0.01,-1.88,22.48,-53.82,475
8606,-0.9,-0.23,0.02,-8.58,22.55,-60.77,475
8626,-0.84,-0.3,0.02,-9.01,23.51,-66.54,476
8646,-0.8,-0.31,-0.01,4.29,32.31,-77.23,477
8667,-0.97,-0.33,-0.1,28.67,48.58,-95.73,479
8686,-1.22,-0.5,0.02,53.66,62.71,-117.36,481
8707,-1.44,-0.62,0.23,93.57,80.75,-138.34,485
8726,-1.55,-0.49,0.51,126.49,88.35,-140.0,489
8747,-1.46,-0.3,0.61,122.93,78.57,-129.45,491
8766,-1.3,-0.37,0.39,76.64,52.97,-119.39,491
8786,-0.91,-0.38,-0.11,1.95,18.26,-97.15,489
8806,-0.49,-0.42,-0.44,-82.12,-25.16,-72.37,486
8826,-0.33,-0.77,-0.5,-117.41,-5.52,-75.42,485
8846,-0.49,-1.31,-0.21,-68.23,5.73,-76.11,486
8866,-0.42,-1.26,-0.08,19.46,-4.64,-2.69,488
8886,-0.3,-0.82,-0.2,55.59,-24.81,37.09,488
8906,-0.33,-0.47,-0.17,41.16,-42.09,89.93,487
8926,-0.35,-0.46,-0.23,11.62,-60.33,124.71,486
8946,-0.41,-0.69,-0.15,-5.91,-78.16,156.24,486
8966,-0.42,-0.76,-0.09,-1.35,-94.0,184.24,485
8986,-0.38,-0.79,-0.05,-0.43,-101.31,203.32,485
9007,-0.51,-0.75,-0.02,-5.19,-102.2,221.63,484
9026,-0.7,-0.64,0.03,-17.83,-105.31,237.74,483
9047,-0.74,-0.68,0.06,-34.19,-115.14,232.76,481
9066,-0.73,-0.72,0.09,-27.91,-103.32,218.74,478
9086,-0.84,-0.38,0.23,-7.45,-86.36,228.3,475
9106,-0.74,-0.25,-0.12,-10.84,-76.42,197.06,473
9126,-1.2,-0.23,0.24,-17.33,-60.36,143.9,471
9146,-0.76,-0.08,0.17,-10.93,-41.55,119.11,470
9166,-0.9,-0.1,-0.01,18.5,-1.69,40.64,471
9186,-0.96,0.12,0.17,21.52,6.6,8.68,472
9206,-0.83,0.14,0.12,-10.19,8.48,-36.98,472
9226,-0.78,-0.07,-0.08,-50.2,14.55,-81.9,472
9246,-0.81,-0.5,0.19,-52.92,34.28,-84.14,471
9266,-1.58,-0.44,0.61,-3.79,39.55,9.61,472
9286,-1.08,-0.11,0.1,-8.86,21.06,-52.94,476
9307,-0.8,-0.47,0.01,-41.02,34.87,-87.09,475
9326,-0.71,-0.64,-0.14,-31.44,32.08,-46.02,473
9347,-0.75,-0.48,-0.13,25.71,48.6,-34.2,474
9366,-0.97,-0.23,0.06,22.26,43.18,-35.12,476
9387,-1.05,-0.1,0.08,-14.89,28.68,-36.1,474
9406,-0.92,-0.22,-0.07,-39.91,18.46,-39.03,474
9426,-0.83,-0.43,-0.16,-36.55,18.05,-35.21,474
9446,-0.87,-0.53,-0.04,-11.85,29.03,-33.38,474
9466,-0.93,-0.43,0.01,-1.71,24.31,-27.78,475
9486,-0.87,-0.36,0.01,-7.94,21.91,-28.1,475
9506,-0.86,-0.47,0.02,0.85,26.16,-31.18,475
9526,-0.88,-0.44,-0.03,20.21,32.69,-26.19,475
9546,-0.9,-0.3,0.0,25.59,32.6,-24.36,474
9566,-0.91,-0.28,0.01,25.42,32.89,-27.35,475
9586,-0.93,-0.23,0.01,21.39,28.98,-28.86,474
9606,-0.9,-0.21,-0.04,15.37,26.58,-29.91,474
9626,-0.93,-0.18,0.0,7.77,24.29,-31.52,474
9647,-0.91,-0.19,0.01,2.56,22.8,-37.36,474
9666,-0.91,-0.27,-0.01,-3.65,19.32,-39.26,475
9687,-0.8,-0.43,-0.02,-3.09,21.67,-44.86,475
9706,-0.87,-0.48,-0.03,9.8,28.52,-46.03,475
9726,-0.85,-0.4,-0.04,19.36,26.13,-44.89,475
9746,-0.83,-0.32,-0.06,16.03,27.55,-48.03,475
9766,-0.88,-0.34,-0.07,15.1,28.92,-52.11,475
9786,-0.94,-0.35,-0.05,19.07,26.69,-52.83,476
9806,-0.89,-0.36,-0.09,11.83,28.95,-52.74,476
9826,-0.86,-0.49,-0.05,12.76,33.0,-61.82,477
9846,-0.89,-0.44,0.04,24.73,38.71,-63.03,478
9866,-0.93,-0.35,0.02,36.38,49.19,-70.36,480
9886,-1.2,-0.33,-0.03,41.69,55.38,-81.91,480
9906,-1.52,-0.34,0.18,43.89,45.55,-98.14,484
9926,-1.34,-0.36,0.29,56.35,50.69,-125.24,487
9947,-1.26,-0.4,0.49,84.53,65.12,-131.88,488
9966,-1.31,-0.35,0.46,97.83,60.54,-128.84,491
9987,-1.26,-0.25,0.24,62.64,25.87,-109.44,490
10006,-0.93,-0.35,-0.21,-12.17,0.89,-98.55,489
10027,-0.77,-0.57,-0.28,-70.78,-5.32,-94.63,488
10046,-0.52,-0.87,-0.41,-85.27,-13.32,-73.65,487
10066,-0.28,-0.89,-0.3,-60.86,-22.26,-30.48,487
10086,-0.16,-0.98,-0.46,-13.09,-20.47,3.46,487
10106,-0.21,-0.73,-0.04,20.96,-22.23,66.97,488
10126,-0.21,-0.8,-0.16,33.14,-63.97,125.43,488
10146,-0.06,-0.74,-0.16,52.76,-53.87,174.74,490
10166,-0.33,-0.81,-0.16,59.36,-66.01,202.29,487
10186,-0.39,-0.7,-0.13,46.76,-82.32,235.34,485
10206,-0.66,-0.51,-0.01,-2.43,-103.58,260.38,484
10226,-0.9,-0.6,-0.05,-26.51,-115.39,251.09,482
10246,-0.88,-0.71,-0.03,-56.75,-126.21,227.81,481
10266,-0.68,-0.94,-0.01,-52.75,-125.66,190.88,478
10287,-0.61,-0.62,0.12,-12.96,-92.06,232.15,475
10306,-0.76,-0.45,-0.0,10.49,-73.13,209.71,473
10327,-1.05,-0.41,0.2,24.64,-47.13,141.69,472
10346,-0.83,-0.0,0.11,7.3,-42.61,125.52,471
10366,-0.94,0.16,0.12,-17.53,-22.12,62.9,471
10386,-0.93,0.13,0.13,-41.5,-20.18,13.61,471
10406,-0.93,0.0,-0.03,-57.56,-1.75,-42.36,471
10426,-0.83,-0.28,-0.18,-69.99,22.06,-88.02,472
10446,-1.12,-0.62,0.41,-19.41,61.18,-70.25,472
10466,-1.48,-0.28,0.27,-7.24,10.61,-16.33,474
10486,-0.82,-0.03,-0.01,-43.3,9.26,-69.01,475
10506,-0.54,-0.56,-0.01,-82.49,17.96,-81.24,474
10526,-0.59,-0.99,0.06,-48.09,32.9,-47.71,472
10546,-0.8,-0.75,0.1,25.36,45.96,-33.32,473
10566,-0.93,-0.2,0.14,28.49,51.0,-29.88,477
10587,-1.06,-0.06,-0.06,2.93,38.63,-28.26,474
10606,-0.93,-0.17,-0.2,-19.64,27.15,-30.6,472
10627,-0.96,-0.24,-0.08,-23.15,23.91,-36.84,472
10646,-0.94,-0.3,0.02,-20.55,19.36,-33.61,474
10667,-0.83,-0.34,0.04,-16.44,24.09,-34.75,475
10686,-0.88,-0.34,0.02,-13.77,28.37,-34.74,474
10706,-0.92,-0.34,-0.02,-7.42,28.71,-38.63,473
10726,-0.88,-0.34,0.01,1.63,29.24,-38.91,474
10746,-0.87,-0.35,0.02,9.63,28.42,-40.08,475
10766,-0.89,-0.3,0.01,6.93,26.03,-40.0,474
10786,-0.83,-0.37,-0.09,-1.65,24.97,-35.04,474
10806,-0.81,-0.44,-0.08,-2.03,23.33,-33.9,473
10826,-0.87,-0.41,0.04,2.15,24.17,-34.92,473
10846,-0.88,-0.31,0.06,-0.43,23.36,-36.54,474
10866,-0.86,-0.29,-0.03,-8.22,20.69,-40.14,474
10886,-0.86,-0.33,-0.05,-13.12,20.86,-44.13,474
10906,-0.88,-0.37,-0.03,-9.56,22.8,-48.07,474
10927,-0.89,-0.41,-0.03,-7.86,22.58,-48.4,475
10946,-0.84,-0.38,-0.04,-4.57,24.71,-51.67,476
10967,-0.89,-0.31,-0.01,2.46,31.44,-57.1,476
10986,-0.93,-0.36,0.03,10.94,37.87,-65.59,477
11006,-0.95,-0.35,0.08,24.0,48.74,-74.49,480
11026,-1.08,-0.26,0.1,41.81,65.35,-82.05,481
11046,-1.39,-0.25,0.02,49.83,70.93,-95.84,483
11066,-1.67,-0.45,0.28,53.42,65.33,-121.49,486
11086,-1.49,-0.66,0.56,91.23,77.26,-156.49,489
11106,-1.42,-0.7,0.57,150.64,104.08,-156.17,491
11126,-1.25,-0.38,0.16,121.46,63.77,-114.02,491
11146,-0.73,-0.45,-0.35,18.58,15.13,-88.6,488
11166,-0.4,-0.45,-0.41,-66.29,-1.48,-82.02,485
11186,-0.28,-0.76,-0.47,-90.93,-17.48,-49.42,485
11206,-0.14,-1.05,-0.36,-60.78,-14.01,-18.34,485
11227,-0.06,-1.06,-0.3,5.49,-16.9,24.96,486
11246,-0.36,-0.73,-0.06,37.91,-21.58,88.55,487
11267,-0.21,-0.75,-0.2,45.56,-68.52,131.37,486
11286,-0.19,-0.71,-0.2,51.68,-54.3,163.97,485
11307,-0.41,-0.7,-0.13,44.75,-68.65,188.41,484
11326,-0.4,-0.58,-0.11,11.08,-92.96,218.01,482
11346,-0.47,-0.6,-0.05,-34.06,-107.95,232.03,482
11366,-0.59,-0.71,0.01,-39.65,-115.03,235.51,480
11386,-0.68,-0.75,0.11,-41.06,-116.23,240.15,479
11406,-0.72,-0.76,0.13,-43.42,-118.65,233.42,476
11426,-0.92,-0.54,0.3,-29.6,-96.32,243.2,475
11446,-1.02,-0.41,0.04,-8.6,-86.35,228.8,473
11466,-1.17,-0.26,0.15,23.52,-55.4,167.4,471
11486,-0.8,0.09,0.13,31.75,-36.01,137.25,469
11506,-0.97,0.38,0.19,10.11,-10.68,70.47,470
11526,-0.94,0.33,0.22,-10.09,-4.62,5.98,470
11546,-0.81,0.08,0.08,-35.8,1.53,-55.01,470
11567,-0.84,-0.05,-0.08,-80.28,4.03,-90.25,470
11586,-0.74,-0.51,0.0,-76.89,27.18,-105.61,470
11607,-1.34,-0.69,0.49,2.04,56.86,-17.18,470
11626,-1.37,-0.12,0.17,12.88,23.01,-26.4,474
11646,-0.92,-0.09,0.03,-49.76,17.16,-93.68,474
11666,-0.61,-0.55,-0.01,-84.75,16.32,-75.38,473
11686,-0.61,-0.81,-0.11,-37.89,33.64,-41.52,472
11706,-0.9,-0.65,0.05,5.17,41.91,-44.23,475
11726,-0.77,-0.44,0.26,22.36,49.18,-38.49,476
11746,-0.85,-0.28,0.14,30.88,52.55,-32.75,476
11766,-1.01,-0.3,-0.08,25.54,57.93,-39.67,475
11786,-0.87,-0.47,-0.15,42.64,54.05,-46.94,475
11806,-0.92,-0.36,-0.08,71.25,66.09,-46.84,476
11826,-1.07,-0.09,-0.04,54.87,41.9,-36.89,476
11846,-0.89,-0.14,-0.05,15.68,30.32,-43.74,475
11867,-0.83,-0.43,-0.0,-2.06,24.77,-50.29,476
11886,-0.81,-0.51,-0.04,0.52,25.51,-39.99,476
11907,-0.87,-0.43,-0.17,0.23,24.77,-33.82,476
11926,-0.88,-0.48,-0.12,1.33,19.44,-32.0,475
11947,-0.83,-0.52,0.0,8.96,20.0,-32.39,476
11966,-0.84,-0.5,0.02,21.25,26.0,-31.79,477
11986,-0.86,-0.38,-0.06,16.59,20.95,-26.98,476
12006,-0.83,-0.33,-0.11,5.2,18.9,-26.71,475
12026,-0.94,-0.33,-0.07,-0.8,16.83,-29.04,476
12046,-0.9,-0.29,-0.05,-4.78,12.06,-28.28,477
12066,-0.83,-0.26,-0.05,-12.81,12.83,-28.86,476
12086,-0.9,-0.27,0.04,-9.24,17.1,-39.85,476
12106,-0.97,-0.25,0.04,-1.77,18.81,-45.42,477
12126,-0.9,-0.2,-0.03,-2.92,20.42,-50.36,478
12146,-0.89,-0.24,0.01,-6.26,23.12,-61.06,477
12166,-0.96,-0.35,0.07,-1.93,28.46,-70.58,479
12186,-0.96,-0.42,0.08,12.18,36.68,-82.46,481
12207,-1.03,-0.5,0.07,35.56,49.53,-100.77,482
12226,-1.18,-0.48,0.03,42.88,45.82,-105.47,484
12247,-1.26,-0.53,0.06,38.47,42.05,-111.45,485
12266,-1.41,-0.59,0.29,53.94,45.77,-118.48,487
12286,-1.26,-0.6,0.25,82.72,51.19,-132.1,489
12306,-1.15,-0.4,0.24,86.99,37.03,-115.47,490
12326,-1.05,-0.28,-0.05,38.2,7.32,-91.56,491
12346,-0.87,-0.32,-0.27,-39.82,-11.23,-78.29,489
12366,-0.74,-0.62,-0.28,-89.27,-18.12,-76.03,489
12386,-0.57,-0.76,-0.29,-95.67,-32.44,-45.15,489
12406,-0.38,-1.03,-0.68,-81.12,-49.45,-15.29,488
12426,0.12,-1.03,-0.12,-8.83,-25.86,-4.0,487
12446,-0.37,-0.89,0.01,26.96,-26.24,86.01,488
12466,-0.24,-0.81,-0.15,41.74,-81.05,134.44,487
12486,-0.16,-0.69,-0.13,47.66,-67.03,177.2,486
12507,-0.23,-0.78,-0.1,38.38,-82.12,212.18,485
12526,-0.24,-0.74,-0.13,24.36,-93.49,240.88,485
12547,-0.43,-0.69,-0.04,-7.51,-106.01,263.28,483
12566,-0.6,-0.71,0.08,-17.39,-121.87,269.23,481
12587,-0.67,-0.67,0.02,-44.46,-119.86,267.34,477
12606,-0.95,-0.59,0.05,-56.73,-108.88,242.47,475
12626,-1.23,-0.51,0.26,-27.76,-109.42,224.53,472
12646,-0.74,-0.59,-0.06,5.27,-81.46,170.88,471
12666,-0.95,-0.16,0.12,54.09,-18.78,124.5,471
12686,-0.89,0.14,0.11,60.21,2.55,69.34,471
12706,-0.88,0.18,0.05,38.21,14.87,3.95,471
12726,-0.92,0.21,0.12,-20.15,6.81,-36.91,471
12746,-0.73,-0.03,-0.12,-73.39,15.47,-85.58,470
12766,-0.9,-0.58,0.15,-59.02,33.68,-103.56,471
12786,-1.58,-0.41,0.41,-16.0,28.8,4.36,471
12806,-1.01,-0.17,0.09,-12.9,7.07,-58.37,476
12826,-0.78,-0.51,0.01,-46.81,29.38,-79.62,474
12847,-0.65,-0.65,0.07,-37.77,25.42,-47.3,473
12866,-0.74,-0.59,0.07,6.35,41.73,-36.65,473
12887,-0.85,-0.34,0.21,17.2,41.74,-33.47,477
12906,-0.92,-0.21,-0.03,2.65,47.27,-31.94,475
12926,-1.02,-0.36,-0.16,-3.68,40.39,-40.74,474
12946,-0.86,-0.44,-0.19,1.69,29.47,-34.57,474
12966,-0.83,-0.47,0.01,18.33,40.51,-38.97,476
12986,-1.01,-0.34,0.0,24.78,38.8,-33.35,476
13006,-0.93,-0.21,-0.08,5.78,24.57,-30.49,475
13026,-0.85,-0.3,-0.07,-9.6,19.73,-33.07,474
13046,-0.91,-0.36,-0.02,-16.15,14.95,-30.4,474
13066,-0.85,-0.5,0.04,-8.93,16.46,-32.89,476
13086,-0.84,-0.49,0.06,11.34,25.19,-30.22,476
13106,-0.87,-0.29,-0.03,22.18,31.12,-26.51,475
13126,-0.94,-0.2,-0.07,11.78,23.55,-27.03,474
13147,-0.9,-0.27,-0.05,-6.6,17.09,-29.59,474
13166,-0.89,-0.28,0.01,-13.99,13.97,-30.37,474
13187,-0.92,-0.17,0.02,-11.67,15.61,-34.0,474
13206,-0.93,-0.12,0.02,-13.18,18.03,-39.67,474
13227,-0.91,-0.16,0.02,-12.84,20.11,-47.94,475
13246,-0.93,-0.13,0.05,-2.6,27.47,-57.71,476
13266,-0.93,-0.36,0.01,-0.19,27.24,-70.07,476
13286,-0.77,-0.61,-0.08,2.87,28.83,-72.97,477
13306,-0.77,-0.58,-0.02,18.91,38.74,-69.35,478
13326,-0.98,-0.39,0.07,37.83,51.74,-76.52,479
