Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693159764.260009
ThreadStarted;1693159764.261029
WorkerResourceThreadStarted;1693159764.263012
DeviceConnected;1693159764.56096
Filename;0_2023_08_27_18_09_25_0T_z6eYnkArltLhNAAAJ.json
ProcessReady;1693159764.613087
FirstDataSent;1693159764.772143
FirstResponseReceived;1693159764.820629
TheadStopped;1693160129.261841
