Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168252.754544
ThreadStarted;1693168252.75547
WorkerResourceThreadStarted;1693168252.756476
DeviceConnected;1693168252.779464
Filename;0_2023_08_27_23_30_54_lJ7iEzJzXUHv7u1KAAA5.json
ProcessReady;1693168252.786245
FirstDataSent;1693168252.986423
FirstResponseReceived;1693168252.994044
TheadStopped;1693168263.470389
