Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692439570.688589
ThreadStarted;1692439570.688589
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692439570.688589
BrokerIPAssigned;1692439570.856486
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692439570.857492
WorkerDeviceAssigned;1692439570.968553
WorkerIP;212.253.104.215
CPU_Usage;1.5075376884422065
WorkerResourceThreadStarted;1692439570.970559
CloudResourceThreadStarted;1692439570.971557
DeviceConnected;1692439571.291838
Filename;undefined_2023_08_19_13_06_13_UFGWMU7BOJFJV6tKAAAj.json
Filename;0_2023_08_19_13_06_12_VAFRnmJ0RNlO9-FTAAAh.json
ProcessReady;1692439571.363733
FirstDataSent;1692439571.502216
FirstResponseReceived;1692439571.540101
TheadStopped;1692439581.984631
