Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163483.825331
ThreadStarted;1693163483.826327
WorkerResourceThreadStarted;1693163483.827326
DeviceConnected;1693163484.145934
Filename;0_2023_08_27_19_11_25_pebT-34VJqjPdWjQAABB.json
ProcessReady;1693163484.203364
FirstDataSent;1693163484.355254
FirstResponseReceived;1693163484.408059
TheadStopped;1693163494.843689
