Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168033.656785
ThreadStarted;1693168033.657785
WorkerResourceThreadStarted;1693168033.658779
DeviceConnected;1693168033.694028
Filename;0_2023_08_27_23_27_15_pNvrnOoU5JlB0-l2AAAn.json
ProcessReady;1693168033.702018
FirstDataSent;1693168033.897257
FirstResponseReceived;1693168033.909803
TheadStopped;1693168044.377262
