Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;369098.518896
BluetoothConnected;369098.565753
ThreadStarted:369106.858522
SocketInitialized;369106.871261
DeviceConnected:369107.401840
FilenameTime:369107.492862
Filename:1_2023_09_19_06_58_34_g4LuOMuZgPBhiB-8AAAH.json
ProcessReady;369107.568225
FirstResponseReceived;369107.689283
