Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692439520.721973
ThreadStarted;1692439520.722972
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692439520.722972
BrokerIPAssigned;1692439520.898237
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692439520.898237
WorkerDeviceAssigned;1692439520.982548
WorkerIP;212.253.104.215
CPU_Usage;2.0050125313283207
WorkerResourceThreadStarted;1692439520.983818
CloudResourceThreadStarted;1692439520.9848
DeviceConnected;1692439521.261361
Filename;undefined_2023_08_19_13_05_23_zxkTG0ruJX-e7UtOAAAf.json
Filename;0_2023_08_19_13_05_22_bbPfKKAL6fHloTo6AAAd.json
ProcessReady;1692439521.397143
FirstDataSent;1692439521.478581
FirstResponseReceived;1692439521.529116
TheadStopped;1692439531.969589
