Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1675698.926621
BluetoothConnected;1675698.952737
ThreadStarted:1675713.928656
SocketInitialized;1675713.935419
DeviceConnected:1675714.033896
FilenameTime:1675714.054530
Filename:1_2023_08_18_21_14_46_Z3l5_tsmEIMp_lk9AAAN.json
ProcessReady;1675714.060713
FirstResponseReceived;1675714.143853
