Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1671126.473201
BluetoothConnected;1671126.497977
ThreadStarted:1671130.918410
SocketInitialized;1671130.923955
DeviceConnected:1671131.390513
FilenameTime:1671131.495014
Filename:1_2023_08_18_16_28_27_7TXD42Jd-bAni1GdAAAR.json
ProcessReady;1671131.547277
FirstResponseReceived;1671131.634973
