Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1683431.145407
BluetoothConnected;1683431.170560
ThreadStarted:1683436.323221
SocketInitialized;1683436.329512
DeviceConnected:1683436.409448
FilenameTime:1683436.433273
Filename:1_2023_08_18_23_23_30_CUrXzRKyNW9qaz5VAAA4.json
ProcessReady;1683436.439496
FirstResponseReceived;1683436.511283
