Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692437813.698335
ThreadStarted;1692437813.699335
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692437813.699335
BrokerIPAssigned;1692437813.918776
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692437813.91978
WorkerDeviceAssigned;1692437814.018638
WorkerIP;212.253.104.215
CPU_Usage;1.5037593984962405
WorkerResourceThreadStarted;1692437814.020641
CloudResourceThreadStarted;1692437814.021659
DeviceConnected;1692437814.374052
Filename;undefined_2023_08_19_12_36_56_xMWjEWRDXKkphk0kAAAN.json
Filename;0_2023_08_19_12_36_55_-g60uFxirKWQMiksAAAL.json
ProcessReady;1692437814.518153
FirstDataSent;1692437814.58864
FirstResponseReceived;1692437814.650591
TheadStopped;1692438179.07656
