Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;374756.186344
BluetoothConnected;374756.224283
ThreadStarted:374769.373729
SocketInitialized;374769.387893
DeviceConnected:374769.906199
FilenameTime:374770.009581
Filename:1_2023_09_19_08_32_57_av-LIQ_iGZXbLIAiAAAf.json
ProcessReady;374770.090451
FirstResponseReceived;374770.198909
