Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1665676.853238
BluetoothConnected;1665676.879303
ThreadStarted:1665688.405703
SocketInitialized;1665688.411596
DeviceConnected:1665688.898245
FilenameTime:1665688.999261
Filename:1_2023_08_18_14_57_44_ZTa6p8ORRg9BpXVxAAAH.json
ProcessReady;1665689.102770
FirstResponseReceived;1665689.305623
