Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642753.702549
ThreadStarted;1695642753.703553
WorkerResourceThreadStarted;1695642753.705551
DeviceConnected;1695642754.151356
Filename;0_2023_09_25_11_52_34_-2k8aIWGi4-cwLcTAACz.json
ProcessReady;1695642754.224342
FirstDataSent;1695642754.367971
FirstResponseReceived;1695642754.459789
TheadStopped;1695642764.85138
