Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1671764.854500
BluetoothConnected;1671764.880994
ThreadStarted:1671770.495445
SocketInitialized;1671770.500443
DeviceConnected:1671771.010498
FilenameTime:1671771.110418
Filename:1_2023_08_18_17_09_00_NmO5ORTRFIPEu74uAAAl.json
ProcessReady;1671771.316732
FirstResponseReceived;1671771.520760
