Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1672627.882520
BluetoothConnected;1672627.905714
ThreadStarted:1672637.727766
SocketInitialized;1672637.733134
DeviceConnected:1672638.349780
FilenameTime:1672638.448105
Filename:1_2023_08_18_17_23_27_sJGrbW21T_GaPN0xAAA1.json
ProcessReady;1672638.547073
FirstResponseReceived;1672638.757642
