Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375655.135808
BluetoothConnected;375655.183689
ThreadStarted:375667.929762
SocketInitialized;375667.944070
DeviceConnected:375668.388133
FilenameTime:375668.473135
Filename:1_2023_09_19_08_47_55_x25_vB0-EJXuf9VjAABD.json
ProcessReady;375668.545549
FirstResponseReceived;375668.657148
