Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642201.333161
ThreadStarted;1695642201.334187
WorkerResourceThreadStarted;1695642201.336164
DeviceConnected;1695642201.858362
Filename;0_2023_09_25_11_43_21_tOM4pwKR8wO--5c-AACH.json
ProcessReady;1695642201.947772
FirstDataSent;1695642202.064345
FirstResponseReceived;1695642202.150339
TheadStopped;1695642212.545314
