Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695639486.747788
ThreadStarted;1695639486.749806
WorkerResourceThreadStarted;1695639486.750814
DeviceConnected;1695639487.253819
Filename;0_2023_09_25_10_58_07_onVJvooOUp0Y_a-jAAB5.json
ProcessReady;1695639487.326225
FirstDataSent;1695639487.457986
FirstResponseReceived;1695639487.529129
TheadStopped;1695639851.94914
