Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163261.921677
ThreadStarted;1693163261.922681
WorkerResourceThreadStarted;1693163261.923678
DeviceConnected;1693163262.228174
Filename;0_2023_08_27_19_07_43_azjum7T_cE-GtqeiAAAv.json
ProcessReady;1693163262.280419
FirstDataSent;1693163262.437552
FirstResponseReceived;1693163262.487576
TheadStopped;1693163272.932133
