Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1647393.547592
BluetoothConnected;1647393.583939
ThreadStarted:1647398.344691
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1647398.349520
AssignWorkerDeviceRequested;1647398.586564
BrokerIPAssigned;1647398.585459
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.815618448756158
SocketInitialized;1647398.700390
WorkerDeviceAssigned;1647398.686613
WorkerIP;192.168.2.151
CPU_Usage;0.75949367088608
DeviceConnected:1647399.185569
FilenameTime:1647399.246250
Filename:undefined_2023_08_18_12_15_20_z4fcjE1z9axkFde1AAAH.json
FilenameTime:1647399.284836
Filename:1_2023_08_18_12_15_20_FapIr9E-8nAXg1w6AAAF.json
ProcessReady;1647399.285985
FirstResponseReceived;1647399.360150
