Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1632430.138957
BluetoothConnected;1632430.164320
ThreadStarted:1632445.240618
AssignFogNode_Latitude;41.1072729
AssignFogNode_Longitude;28.7826274
AssignFogNodeRequested;1632445.243068
AssignWorkerDeviceRequested;1632445.528513
BrokerIPAssigned;1632445.527505
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1632445.560472
WorkerDeviceAssigned;1632445.553134
WorkerIP;192.168.2.151
CPU_Usage;2.2499999999999964
DeviceConnected:1632445.668244
FilenameTime:1632445.830771
Filename:1_2023_08_18_08_04_14_OZuz8LmmGeu2AcGsAAAL.json
ProcessReady;1632445.849938
FirstResponseReceived;1632445.888281
