Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7267,-0.91,-0.3,0.07,0.63,-1.47,-8.18,504

7287,-0.89,-0.32,0.08,4.89,0.55,-8.98,501

7307,-0.92,-0.3,0.1,2.62,-1.04,-9.94,501

7327,-0.89,-0.35,0.07,-0.16,-4.0,-4.05,501

7347,-0.9,-0.33,0.06,1.78,-3.36,-11.75,501

7367,-0.89,-0.33,0.1,0.98,-2.23,-3.54,501

7388,-0.88,-0.38,0.1,0.34,-3.36,-6.24,502

7408,-0.87,-0.39,0.1,4.17,-3.19,-10.94,501

7429,-0.89,-0.31,0.09,5.45,-1.68,-8.09,501

7448,-0.92,-0.26,0.08,-2.97,-7.15,0.4,502

7469,-0.9,-0.32,0.08,-2.45,-8.73,-9.88,502

7488,-0.83,-0.48,0.11,17.16,0.72,-16.02,502

7508,-0.89,-0.37,0.14,28.07,5.07,-13.56,502

7528,-0.89,-0.32,0.12,25.59,2.76,-24.13,502

7548,-0.89,-0.32,0.06,24.13,5.1,-12.41,502

7568,-0.93,-0.29,0.11,16.63,1.07,-13.14,502

7588,-0.89,-0.41,0.13,11.67,-1.88,-10.44,502

7608,-0.89,-0.39,0.12,16.32,-0.96,-21.22,503

7628,-0.9,-0.33,0.12,22.07,1.83,-18.86,503

7648,-0.93,-0.34,0.12,27.07,1.92,-32.41,503

7668,-0.98,-0.19,0.12,29.85,1.69,-33.78,504

7688,-0.99,-0.04,0.16,17.33,-2.32,-34.14,505

7708,-1.0,-0.12,0.15,0.25,-7.31,-49.95,505

7729,-0.99,-0.3,0.21,-6.19,-7.16,-49.37,507

7749,-0.91,-0.5,0.24,1.99,1.89,-53.15,507

7770,-0.8,-0.59,0.2,6.29,3.27,-37.62,508

7789,-0.72,-0.66,0.18,18.16,13.51,-37.08,507

7810,-0.76,-0.57,0.13,32.57,15.1,-1.24,506

7829,-0.85,-0.36,0.14,17.93,3.59,41.15,506

7849,-0.83,-0.42,0.12,5.49,-7.91,48.28,507

7869,-0.83,-0.46,0.18,7.29,-7.91,70.51,507

7889,-0.85,-0.4,0.18,6.98,-10.35,81.81,507

7909,-0.86,-0.36,0.19,2.66,-11.99,94.02,507

7929,-0.86,-0.3,0.15,-0.99,-13.16,95.36,507

7949,-0.87,-0.35,0.16,-4.88,-10.89,98.41,508

7969,-0.84,-0.31,0.16,-0.01,-4.98,115.92,508

7989,-0.83,-0.24,0.18,7.55,3.31,99.59,507

8009,-0.86,-0.27,0.13,9.5,6.2,100.27,507

8029,-0.86,-0.19,0.16,9.0,6.01,97.66,507

8049,-0.88,-0.06,0.17,3.26,4.46,83.6,506

8070,-0.95,-0.13,0.12,-7.74,-2.63,68.02,506

8090,-0.95,-0.09,0.22,-8.53,-1.28,60.01,506

8111,-0.91,-0.06,0.14,-11.02,-5.44,28.76,506

8130,-0.92,-0.08,0.17,-17.31,-4.64,30.98,507

