Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;368527.677677
BluetoothConnected;368527.713925
ThreadStarted:368534.006055
SocketInitialized;368534.018960
DeviceConnected:368534.525128
FilenameTime:368534.639809
Filename:1_2023_09_19_06_49_01_CP77V0TIdZ9amz9kAAAF.json
ProcessReady;368534.722310
FirstResponseReceived;368534.811781
