Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163163.04404
ThreadStarted;1693163163.045231
WorkerResourceThreadStarted;1693163163.045231
DeviceConnected;1693163163.344994
Filename;0_2023_08_27_19_06_04_8S_3NUAFoyxyilblAAAn.json
ProcessReady;1693163163.394724
FirstDataSent;1693163163.555473
FirstResponseReceived;1693163163.606018
TheadStopped;1693163174.044257
