Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1682600.294049
BluetoothConnected;1682600.316539
ThreadStarted:1682615.361629
SocketInitialized;1682615.366348
DeviceConnected:1682615.456376
FilenameTime:1682615.476612
Filename:1_2023_08_18_23_09_49_V38XZbuaF3wEStG9AAAg.json
ProcessReady;1682615.482388
FirstResponseReceived;1682615.545769
