Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168204.070658
ThreadStarted;1693168204.070658
WorkerResourceThreadStarted;1693168204.071654
DeviceConnected;1693168204.100319
Filename;0_2023_08_27_23_30_06_J5VRduogCgrfJG3_AAA1.json
ProcessReady;1693168204.107594
FirstDataSent;1693168204.314257
FirstResponseReceived;1693168204.328921
TheadStopped;1693168214.799894
