Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1691426.510146
BluetoothConnected;1691426.533400
ThreadStarted:1691441.932149
SocketInitialized;1691441.937055
DeviceConnected:1691442.037905
FilenameTime:1691442.055596
Filename:1_2023_08_19_01_36_55_7Xe0zCySPBNOOEKxAACH.json
ProcessReady;1691442.075993
FirstResponseReceived;1691442.106628
