Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163138.235324
ThreadStarted;1693163138.23632
WorkerResourceThreadStarted;1693163138.237318
DeviceConnected;1693163138.554719
Filename;0_2023_08_27_19_05_39_ooDW525ZPInJ1mV7AAAl.json
ProcessReady;1693163138.61023
FirstDataSent;1693163138.760255
FirstResponseReceived;1693163138.812999
TheadStopped;1693163149.242091
