Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1654499.235179
BluetoothConnected;1654499.275541
ThreadStarted:1654513.504853
AssignFogNode_Latitude;41.1073304
AssignFogNode_Longitude;28.7826937
AssignFogNodeRequested;1654513.509083
AssignWorkerDeviceRequested;1654513.772158
BrokerIPAssigned;1654513.771053
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.81947344409186
SocketInitialized;1654513.870178
WorkerDeviceAssigned;1654513.857880
WorkerIP;192.168.2.151
CPU_Usage;1.2562814070351758
DeviceConnected:1654514.134172
FilenameTime:1654514.279779
Filename:undefined_2023_08_18_14_50_54_js6J4T-Ysi0GFNHwAAAv.json
FilenameTime:1654514.299843
Filename:1_2023_08_18_14_50_54_AkcVEhoj7yovoUoQAAAt.json
ProcessReady;1654514.301958
FirstResponseReceived;1654514.383770
