Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1632891.855470
BluetoothConnected;1632891.881062
ThreadStarted:1632906.321356
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1632906.323919
AssignWorkerDeviceRequested;1632906.536311
BrokerIPAssigned;1632906.535284
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1632906.565862
WorkerDeviceAssigned;1632906.559630
WorkerIP;192.168.2.151
CPU_Usage;1.2562814070351758
DeviceConnected:1632906.652157
FilenameTime:1632906.805973
Filename:1_2023_08_18_08_11_55_NXcF2LLRjlfyEPWaAAAN.json
ProcessReady;1632906.827946
FirstResponseReceived;1632906.854061
