Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7266,-0.91,-0.29,0.07,-3.27,-0.63,-1.4,470
7286,-0.9,-0.3,0.08,-6.54,-1.45,-1.33,468
7306,-0.89,-0.32,0.1,-6.95,-2.15,-0.57,468
7326,-0.91,-0.32,0.08,-9.5,-3.56,-0.69,468
7346,-0.89,-0.36,0.06,-5.96,-1.6,-0.92,468
7366,-0.91,-0.3,0.04,-0.14,0.21,-0.6,468
7387,-0.91,-0.24,0.08,-0.53,0.31,-1.41,468
7406,-0.91,-0.25,0.11,-5.69,-2.2,-0.94,468
7427,-0.91,-0.27,0.12,-9.96,-2.95,-1.33,468
7446,-0.91,-0.23,0.1,-17.32,-5.97,-0.74,468
7467,-0.91,-0.29,0.04,-23.7,-8.24,-2.75,468
7486,-0.91,-0.39,0.03,-10.19,-4.11,-2.97,468
7506,-0.91,-0.25,0.06,1.47,0.03,-5.24,468
7526,-0.95,-0.18,0.14,0.62,-0.75,-9.07,468
7546,-0.96,-0.13,0.12,-5.08,-0.06,-9.5,469
7566,-0.94,-0.14,0.05,-13.06,-2.15,-9.55,469
7586,-0.89,-0.32,0.08,-13.69,-2.63,-13.03,469
7606,-0.89,-0.39,0.09,-6.3,0.82,-14.49,469
7626,-0.89,-0.38,0.07,-2.62,0.56,-15.65,470
7646,-0.89,-0.33,0.08,-1.47,-0.56,-17.38,470
7666,-0.9,-0.32,0.07,0.79,1.16,-17.82,470
7686,-0.89,-0.29,0.07,2.99,2.15,-17.75,471
7706,-0.88,-0.31,0.09,6.5,4.18,-20.56,471
7727,-0.91,-0.32,0.11,15.32,9.01,-25.21,472
7746,-0.92,-0.33,0.15,21.18,11.79,-29.46,472
7767,-0.92,-0.28,0.08,21.2,12.17,-30.3,473
7786,-0.94,-0.21,0.08,14.24,9.04,-27.87,473
7806,-0.94,-0.24,0.13,15.55,14.32,-36.02,474
7826,-0.94,-0.31,0.22,22.48,14.87,-44.37,475
7846,-0.9,-0.26,0.22,33.38,30.87,-47.12,478
7866,-1.03,-0.14,0.23,28.01,27.71,-47.73,479
7886,-0.97,-0.33,0.08,13.75,22.14,-52.45,481
7906,-0.99,-0.43,0.11,10.53,16.52,-42.65,481
7926,-0.94,-0.43,0.2,10.39,-1.16,-16.98,481
7946,-0.92,-0.32,0.16,-0.74,-14.64,7.02,481
7966,-0.92,-0.32,0.11,-19.24,-32.86,28.6,481
7986,-0.86,-0.46,0.13,-23.38,-43.21,46.45,482
8006,-0.83,-0.55,0.15,-10.13,-44.41,63.31,482
8027,-0.78,-0.57,0.16,9.61,-34.78,79.32,482
8046,-0.82,-0.45,0.1,22.1,-30.72,97.08,482
8067,-0.85,-0.35,0.13,23.29,-32.49,107.57,481
8086,-0.8,-0.44,0.15,27.78,-29.42,109.75,481
8107,-0.75,-0.43,0.11,39.75,-15.85,110.04,480
8126,-0.83,-0.32,0.03,43.81,-12.55,105.81,479
8146,-0.88,-0.19,0.13,41.89,-10.35,105.92,478
8166,-0.87,-0.13,0.11,30.62,-17.22,101.43,478
8186,-0.9,-0.14,0.13,31.87,-5.33,73.55,477
8206,-0.86,-0.16,0.16,36.6,-0.02,52.27,477
8226,-0.85,0.0,0.12,28.59,4.17,42.73,477
8246,-0.94,0.08,0.16,10.97,2.84,20.47,478
8266,-0.9,-0.06,0.2,-7.08,1.27,-0.13,478
8286,-0.88,-0.07,0.17,-20.11,1.28,-15.53,478
8306,-0.9,-0.14,0.11,-40.54,-3.54,-26.25,478
8326,-0.85,-0.15,0.12,-57.23,-7.21,-33.43,478
8346,-0.87,-0.21,0.11,-63.78,0.98,-44.33,478
8367,-0.99,-0.34,0.22,-50.08,8.34,-36.91,478
8386,-1.25,-0.23,0.44,-22.11,28.2,-21.2,479
8407,-1.16,-0.11,0.27,-29.46,-3.95,-37.35,480
8426,-0.79,-0.26,0.07,-37.81,14.6,-47.88,479
8446,-0.77,-0.3,-0.1,-37.75,16.0,-30.07,478
8466,-0.89,-0.36,-0.11,-25.58,27.24,-35.29,477
8486,-0.9,-0.42,0.12,-22.16,25.5,-28.98,477
