Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168374.383797
ThreadStarted;1693168374.384773
WorkerResourceThreadStarted;1693168374.384773
DeviceConnected;1693168374.417125
Filename;0_2023_08_27_23_32_56_65B_DzbQSRQ6cvG-AABD.json
ProcessReady;1693168374.424604
FirstDataSent;1693168374.630276
FirstResponseReceived;1693168374.646139
TheadStopped;1693168385.120955
