Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695638727.578862
ThreadStarted;1695638727.57986
WorkerResourceThreadStarted;1695638727.58188
DeviceConnected;1695638728.056673
Filename;0_2023_09_25_10_45_28_ub6P6P4wXAGUWiT8AAB1.json
ProcessReady;1695638728.132206
FirstDataSent;1695638728.269988
FirstResponseReceived;1695638728.344716
TheadStopped;1695639092.759213
