Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168398.59503
ThreadStarted;1693168398.59503
WorkerResourceThreadStarted;1693168398.59603
DeviceConnected;1693168398.630246
Filename;0_2023_08_27_23_33_20_VEc2hKADJQ9VpJ4YAABF.json
ProcessReady;1693168398.637435
FirstDataSent;1693168398.843258
FirstResponseReceived;1693168398.853043
TheadStopped;1693168409.335218
